synset_id,japanese_keyword,english_keyword,method,cosine_similarity,cosine_distance,japanese_mean_pairwise_euclidean,english_mean_pairwise_euclidean,japanese_image_count,english_image_count
1,"星, 星印, 星章",star,average,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,centroid_of_centroids,0.7833967804908752,0.21660321950912476,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,kmeans,0.7683557894063037,0.23164421059369633,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,dbscan,0.6819887278992077,0.3180112721007923,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,isolation_forest,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,average,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,centroid_of_centroids,0.7833967804908752,0.21660321950912476,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,kmeans,0.7683557894063037,0.23164421059369633,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,dbscan,0.6819887278992077,0.3180112721007923,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,isolation_forest,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,average,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,centroid_of_centroids,0.7833967804908752,0.21660321950912476,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,kmeans,0.7683557894063037,0.23164421059369633,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,dbscan,0.6819887278992077,0.3180112721007923,1718.5950471134536,2211.7084040566097,99,64
1,"星, 星印, 星章",star,isolation_forest,0.7739954590797424,0.22600454092025757,1718.5950471134536,2211.7084040566097,99,64
